Rank,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Full_time_year_round,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,College_jobs_binned,Non_college_jobs_binned,Median_binned,Total_binned,Sample_size_binned,Men_binned,Women_binned,ShareWomen_binned,Full_time_year_round_binned,P25th_binned,P75th_binned,Low_wage_jobs_binned
38,BUSINESS ECONOMICS,Business,13302,199,3477,1154,0.24919024,8000,46000,33000,58000,1578,4612,1284,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(-0.000969,0.323]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
43,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,425,515,1247,0.707718502,21130,45000,30000,60000,13344,11783,1672,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(0.646,0.97]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
157,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work,9374,89,5137,48415,0.904074544,5061,30000,24000,35000,2878,4595,724,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(0.646,0.97]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(2.19e+04,5.63e+04]","(-48.2,1.61e+04]"
23,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,97,2020,973,0.325091881,5681,52000,35000,60000,5126,2686,696,"(-152,1.52e+04]","(-148,4.95e+04]","(5.13e+04,8.07e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(0.323,0.646]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
32,ENGINEERING TECHNOLOGIES,Engineering,3600,39,16820,1678,0.090712509,1723,50000,43000,60000,1017,1269,142,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(-0.000969,0.323]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
128,HOSPITALITY MANAGEMENT,Business,43647,546,4416,12185,0.733991928,23106,33000,25000,42000,2325,23341,9063,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(0.646,0.97]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(2.19e+04,5.63e+04]","(-48.2,1.61e+04]"
117,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,24650,184,9950,10248,0.507376968,8801,34000,24000,45000,4956,10343,3168,"(-152,1.52e+04]","(-148,4.95e+04]","(2.19e+04,5.13e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(0.323,0.646]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(2.19e+04,5.63e+04]","(-48.2,1.61e+04]"
13,BIOMEDICAL ENGINEERING,Engineering,14955,79,80320,10907,0.119558903,5986,60000,36000,70000,6439,2471,789,"(-152,1.52e+04]","(-148,4.95e+04]","(5.13e+04,8.07e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(5.8e+04,1.16e+05]","(-307,1.02e+05]","(-0.000969,0.323]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
20,COURT REPORTING,Law & Public Policy,1148,14,877,271,0.236062718,808,54000,50000,54000,402,528,144,"(-152,1.52e+04]","(-148,4.95e+04]","(5.13e+04,8.07e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(-0.000969,0.323]","(-88.8,6.67e+04]","(4.4e+04,6.95e+04]","(2.19e+04,5.63e+04]","(-48.2,1.61e+04]"
15,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,30,3526,795,0.183985189,2004,58000,25000,74000,2439,947,263,"(-152,1.52e+04]","(-148,4.95e+04]","(5.13e+04,8.07e+04]","(-270,1.31e+05]","(-2.21,1.41e+03]","(-54.7,5.8e+04]","(-307,1.02e+05]","(-0.000969,0.323]","(-88.8,6.67e+04]","(1.84e+04,4.4e+04]","(5.63e+04,9.07e+04]","(-48.2,1.61e+04]"
