Rank,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Full_time_year_round,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,College_jobs_binned,Non_college_jobs_binned,Median_binned,Total_binned,Sample_size_binned,Men_binned,Women_binned,ShareWomen_binned,Full_time_year_round_binned,P25th_binned,P75th_binned,Low_wage_jobs_binned
1,PETROLEUM ENGINEERING,Engineering,2339,36,2057,282,0.120564344,1207,110000,95000,125000,1534,364,193,"(0,1.67e+03]","(-148,1.48e+04]","(1.01e+05,1.1e+05]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(-88.8,2.01e+04]","(8.74e+04,9.51e+04]","(1.15e+05,1.25e+05]","(-48.2,4.82e+03]"
2,MINING AND MINERAL ENGINEERING,Engineering,756,7,679,77,0.101851852,388,75000,55000,90000,350,257,50,"(0,1.67e+03]","(-148,1.48e+04]","(7.48e+04,8.36e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(-88.8,2.01e+04]","(4.91e+04,5.68e+04]","(8.38e+04,9.41e+04]","(-48.2,4.82e+03]"
3,METALLURGICAL ENGINEERING,Engineering,856,3,725,131,0.153037383,340,73000,50000,105000,456,176,0,"(0,1.67e+03]","(-148,1.48e+04]","(6.6e+04,7.48e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(-88.8,2.01e+04]","(4.91e+04,5.68e+04]","(1.04e+05,1.15e+05]","(-48.2,4.82e+03]"
4,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,16,1123,135,0.107313196,692,70000,43000,80000,529,102,0,"(0,1.67e+03]","(-148,1.48e+04]","(6.6e+04,7.48e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(-88.8,2.01e+04]","(4.14e+04,4.91e+04]","(7.35e+04,8.38e+04]","(-48.2,4.82e+03]"
5,CHEMICAL ENGINEERING,Engineering,32260,289,21239,11021,0.341630502,16697,65000,50000,75000,18314,4440,972,"(1.5e+04,1.52e+05]","(-148,1.48e+04]","(5.72e+04,6.6e+04]","(-270,3.95e+04]","(-2.21,423]","(1.75e+04,3.49e+04]","(-307,3.07e+04]","(0.291,0.388]","(-88.8,2.01e+04]","(4.91e+04,5.68e+04]","(7.35e+04,8.38e+04]","(-48.2,4.82e+03]"
6,NUCLEAR ENGINEERING,Engineering,2573,17,2200,373,0.144966965,1449,65000,50000,102000,1142,657,244,"(0,1.67e+03]","(-148,1.48e+04]","(5.72e+04,6.6e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(-88.8,2.01e+04]","(4.91e+04,5.68e+04]","(9.41e+04,1.04e+05]","(-48.2,4.82e+03]"
7,ACTUARIAL SCIENCE,Business,3777,51,832,960,0.535714286,2482,62000,53000,72000,1768,314,259,"(1.67e+03,3.33e+03]","(-148,1.48e+04]","(5.72e+04,6.6e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.484,0.581]","(-88.8,2.01e+04]","(4.91e+04,5.68e+04]","(6.32e+04,7.35e+04]","(-48.2,4.82e+03]"
8,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,10,2110,1667,0.441355573,827,62000,31500,109000,972,500,220,"(0,1.67e+03]","(-148,1.48e+04]","(5.72e+04,6.6e+04]","(-270,3.95e+04]","(-2.21,423]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.388,0.484]","(-88.8,2.01e+04]","(2.62e+04,3.38e+04]","(1.04e+05,1.15e+05]","(-48.2,4.82e+03]"
9,MECHANICAL ENGINEERING,Engineering,91227,1029,12953,2105,0.139792801,54639,60000,48000,70000,52844,16384,3253,"(1.5e+04,1.52e+05]","(1.48e+04,2.97e+04]","(5.72e+04,6.6e+04]","(7.88e+04,1.18e+05]","(844,1.26e+03]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.0969,0.194]","(4.01e+04,6e+04]","(4.14e+04,4.91e+04]","(6.32e+04,7.35e+04]","(-48.2,4.82e+03]"
10,ELECTRICAL ENGINEERING,Engineering,81527,631,8407,6548,0.437846874,41413,60000,45000,72000,45829,10874,3170,"(1.5e+04,1.52e+05]","(-148,1.48e+04]","(5.72e+04,6.6e+04]","(7.88e+04,1.18e+05]","(423,844]","(-54.7,1.75e+04]","(-307,3.07e+04]","(0.388,0.484]","(4.01e+04,6e+04]","(4.14e+04,4.91e+04]","(6.32e+04,7.35e+04]","(-48.2,4.82e+03]"
