"","Major_category","women_bin","total_bin"
"91","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"92","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"93","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"94","Communications & Journalism","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"95","Law & Public Policy","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"96","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"97","Communications & Journalism","(-307,1.02e+05]","(-270,1.31e+05]"
"98","Physical Sciences","(1.02e+05,2.05e+05]","(-270,1.31e+05]"
"99","Communications & Journalism","(-307,1.02e+05]","(-270,1.31e+05]"
"100","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"101","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"102","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"103","Social Science","(-307,1.02e+05]","(-270,1.31e+05]"
"104","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"105","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"106","Computers & Mathematics","(-307,1.02e+05]","(-270,1.31e+05]"
"107","Industrial Arts & Consumer Services","(-307,1.02e+05]","(-270,1.31e+05]"
"108","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"109","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"110","Interdisciplinary","(-307,1.02e+05]","(-270,1.31e+05]"
"111","Physical Sciences","(-307,1.02e+05]","(-270,1.31e+05]"
"112","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"113","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"114","Education","(1.02e+05,2.05e+05]","(1.31e+05,2.63e+05]"
"115","Humanities & Liberal Arts","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"116","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"117","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"118","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"119","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"120","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"121","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"122","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"123","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"124","Biology & Life Science","(1.02e+05,2.05e+05]","(2.63e+05,3.94e+05]"
"125","Social Science","(-307,1.02e+05]","(-270,1.31e+05]"
"126","Communications & Journalism","(-307,1.02e+05]","(-270,1.31e+05]"
"127","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"128","Business","(-307,1.02e+05]","(-270,1.31e+05]"
"129","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"130","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"131","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"132","Social Science","(-307,1.02e+05]","(-270,1.31e+05]"
"133","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"134","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"135","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"136","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"137","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"138","Humanities & Liberal Arts","(-307,1.02e+05]","(1.31e+05,2.63e+05]"
"139","Education","(1.02e+05,2.05e+05]","(1.31e+05,2.63e+05]"
"140","Industrial Arts & Consumer Services","(-307,1.02e+05]","(-270,1.31e+05]"
"141","Humanities & Liberal Arts","(1.02e+05,2.05e+05]","(-270,1.31e+05]"
"142","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"143","Social Science","(-307,1.02e+05]","(-270,1.31e+05]"
"144","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"145","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"146","Psychology & Social Work","(2.05e+05,3.07e+05]","(2.63e+05,3.94e+05]"
"147","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"148","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"149","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"150","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"151","Industrial Arts & Consumer Services","(-307,1.02e+05]","(-270,1.31e+05]"
"152","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"153","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"154","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"155","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"156","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"157","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"158","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"159","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"160","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"161","Industrial Arts & Consumer Services","(-307,1.02e+05]","(-270,1.31e+05]"
"162","Agriculture & Natural Resources","(-307,1.02e+05]","(-270,1.31e+05]"
"163","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"164","Health","(-307,1.02e+05]","(-270,1.31e+05]"
"165","Education","(-307,1.02e+05]","(-270,1.31e+05]"
"166","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"167","Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"168","Humanities & Liberal Arts","(-307,1.02e+05]","(-270,1.31e+05]"
"169","Biology & Life Science","(-307,1.02e+05]","(-270,1.31e+05]"
"170","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"171","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"172","Psychology & Social Work","(-307,1.02e+05]","(-270,1.31e+05]"
"173","Education","(-307,1.02e+05]","(-270,1.31e+05]"
